Name,F,M,M_weight,F_weight
ADMIR,0,16,1,0
ADNAN,0,370,1,0
ADOLF,0,168,1,0
ADOLFO,0,602,1,0
ADOLPH,0,1493,1,0
ADOLPHE,0,5,1,0
ADOLPHUS,0,23,1,0
ADON,0,13,1,0
ADONAI,0,5,1,0
ADONIJAH,0,5,1,0
ADONIS,0,1338,1,0
ADONNIS,0,5,1,0
ADONYS,0,21,1,0
ADORA,38,0,0,1
ADORE,5,0,0,1
ADRAIN,0,19,1,0
ADREANNA,9,0,0,1
ADRIA,352,0,0,1
ADRIAN,839,11883,0.93405125,0.06594875
ADRIANA,6453,0,0,1
ADRIANE,589,0,0,1
ADRIANNA,3552,0,0,1
ADRIANNE,1113,0,0,1
ADRIANO,0,154,1,0
ADRIEL,5,833,0.994033413,0.005966587
ADRIELLE,25,0,0,1
ADRIEN,0,494,1,0
ADRIENE,126,0,0,1
ADRIENNE,7982,0,0,1
ADRINA,11,0,0,1
ADRIONNA,10,0,0,1
ADRYAN,0,11,1,0
ADWOA,5,0,0,1
ADYAN,0,108,1,0
ADYN,0,13,1,0
ADYSON,58,0,0,1
AEDAN,0,209,1,0
AEDEN,0,28,1,0
AEISHA,13,0,0,1
AELA,5,0,0,1
AERABELLA,5,0,0,1
AERIN,27,0,0,1
AERIS,17,0,0,1
AERYN,5,0,0,1
AESHA,17,0,0,1
AESON,0,5,1,0
AFFAN,0,41,1,0
AFIA,86,0,0,1
AFIYA,20,0,0,1
AFNAN,6,5,0.454545455,0.545454545
AFRA,6,0,0,1
AFRAH,5,0,0,1
AFRAZ,0,6,1,0
AFREEN,20,0,0,1
AFRICA,5,0,0,1
AFRIKA,7,0,0,1
AFSA,10,0,0,1
AFSANA,33,0,0,1
AFSHEEN,8,0,0,1
AFTON,7,0,0,1
AFUA,10,0,0,1
AGAPITO,0,5,1,0
AGATA,11,0,0,1
AGATHA,1050,0,0,1
AGELIKI,5,0,0,1
AGIM,0,5,1,0
AGNES,12945,0,0,1
AGNIESZKA,10,0,0,1
AGOSTINO,0,64,1,0
AGRON,0,15,1,0
AGUSTIN,0,679,1,0
AHAAN,0,19,1,0
AHAD,0,35,1,0
AHANA,17,0,0,1
AHARON,0,824,1,0
AHAVA,5,0,0,1
AHIL,0,8,1,0
AHLAM,22,0,0,1
AHMAD,0,1512,1,0
AHMADOU,0,6,1,0
AHMARI,0,28,1,0
AHMED,0,2332,1,0
AHMET,0,46,1,0
AHMIR,0,148,1,0
AHNA,5,0,0,1
AHNAF,0,137,1,0
AHREN,0,5,1,0
AHRON,0,346,1,0
AHSAN,0,60,1,0
AHSLEY,37,0,0,1
AHUVA,602,0,0,1
AHYAN,0,30,1,0
AI,5,0,0,1
AICHA,292,0,0,1
AIDA,2917,0,0,1
AIDAN,96,9287,0.989768731,0.010231269
AIDDEN,0,5,1,0
AIDE,5,0,0,1
AIDEL,132,0,0,1
AIDELIZ,6,0,0,1
AIDEN,82,12926,0.993696187,0.006303813
AIDIN,0,18,1,0
AIDY,12,0,0,1
AIDYN,0,147,1,0
AIESHA,134,0,0,1
AIKEEM,0,5,1,0
AILA,100,0,0,1
AILANI,91,0,0,1
AILEE,5,0,0,1
AILEEN,3636,0,0,1
AILEY,17,0,0,1
AILI,10,0,0,1
AILIN,16,0,0,1
AILISH,19,0,0,1
AILYN,102,0,0,1
AIMA,19,0,0,1
AIMAN,5,0,0,1
AIME,26,0,0,1
AIMEE,3492,0,0,1
AINARA,28,0,0,1
AINE,141,0,0,1
AINHOA,19,0,0,1
AINSLEY,424,18,0.040723982,0.959276018
AIRIANA,9,0,0,1
AIRIANNA,5,0,0,1
AISATOU,10,0,0,1
AISHA,3103,0,0,1
AISHAH,97,0,0,1
AISLIN,22,0,0,1
AISLING,137,0,0,1
AISLINN,229,0,0,1
AISLYN,30,0,0,1
AISLYNN,15,0,0,1
AISSA,9,0,0,1
AISSATA,123,0,0,1
AISSATOU,317,0,0,1
AITAN,0,5,1,0
AITANA,45,0,0,1
AIVA,11,0,0,1
AIXA,86,0,0,1
AIYANA,410,0,0,1
AIYANNA,202,0,0,1
AIYDEN,0,11,1,0
AIYLA,5,0,0,1
AIYSHA,25,0,0,1
AIZA,140,0,0,1
AIZAH,83,0,0,1
AIZEN,0,15,1,0
AJ,0,26,1,0
AJA,530,0,0,1
AJAH,11,0,0,1
AJAI,0,6,1,0
AJANAE,35,0,0,1
AJANI,10,343,0.971671388,0.028328612
AJAY,0,413,1,0
AJDIN,0,11,1,0
AJEE,35,0,0,1
AJLA,40,0,0,1
