"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"ENVIRONMENTAL POLICE OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60288.5794392523,61114.5425000564,55669.3897423311,"4.7%"
"EXECUTIVE AGENCY COUNSEL",125215.241251469,124708.448077297,125635.450331535,"-0.4%",132091.310858225,132793.163099868,131567.582537373,"0.5%",135868.889193219,137079.146536114,134995.0616274,"0.8%",137667.773343492,139230.302310601,136574.384920633,"1.0%",134622.034652114,134226.535326993,134895.434507369,"-0.2%",139678.494547002,141319.266233516,138570.935826764,"1.0%",143904.879431193,144412.724139993,143541.958795471,"0.3%"
"FIREFIGHTER",79332.0617107106,79366.0488971866,76987.513984073,"1.5%",76561.1282264154,76639.5627740612,71559.8100645702,"3.4%",79831.7137041584,79941.3198546958,73320.0332425525,"4.3%",77787.9064279124,77927.387236383,70339.6623833607,"5.1%",75105.5122592881,75262.494136716,67608.4722455256,"5.4%",73957.2648322603,74131.155038969,66581.5243366833,"5.4%",74265.5623727088,74411.3476286608,68267.8754269121,"4.3%"
"FRAUD INVESTIGATOR",49263.2198076139,49313.2267796772,49226.8884933448,"0.1%",51779.9184634554,51653.1889622253,51873.512914832,"-0.2%",52955.6482220401,52819.3038269084,53054.2687251432,"-0.2%",53712.758598918,53641.4742514458,53762.9912109208,"-0.1%",52069.0013877974,51996.7260664167,52116.6709582614,"-0.1%",53495.2650366246,53275.2591636944,53642.9403708541,"-0.3%",54922.1191489362,54808.5127865229,54996.9093866458,"-0.2%"
"GENERAL SUPERINTENDENT",129320.342278748,129368.119370734,127917.395900771,"0.6%",133378.446773832,133062.471548048,143044.075807059,"-3.6%",135705.15530003,135740.96907866,134932.114088579,"0.3%",136471.377401065,136565.016774131,134530.803363627,"0.8%",135992.432451042,136246.944103542,131386.769127797,"1.8%",138263.61637087,138275.010934937,138067.206613409,"0.1%",136649.490494297,136887.015001842,131903.390082675,"1.9%"
"GUIDANCE COUNSELOR",90496.5077416856,91673.1673324509,90191.6681384224,"0.8%",94014.2176997261,94356.6423612451,93923.7549442467,"0.2%",95550.7263476732,95425.590226625,95584.2357641,"-0.1%",97797.7937142189,97166.4893323843,97966.3207348699,"-0.4%",100569.07204259,99819.5825505519,100769.978329682,"-0.5%",102351.583642059,101840.642717453,102487.916122649,"-0.3%",104112.366046696,103466.802295817,104283.258858943,"-0.4%"
"HEALTH SERVICES MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,111543.443196023,111801.002595203,111403.516491209,"0.2%",NA,NA,NA,NA,106918.235402765,109583.268965593,105809.468171036,"1.8%",NA,NA,NA,NA,NA,NA,NA,NA
"HEATING PLANT TECHNICIAN",47683.4120653352,47625.9920506422,47816.3231938077,"-0.2%",49168.8803710053,48757.1523211225,50121.6719155542,"-1.4%",50645.4880188353,50589.0642683201,50772.7442045784,"-0.2%",52238.4778417823,52194.3300454205,52341.7951947224,"-0.1%",50002.6130594519,49643.6494359037,50898.5359566946,"-1.2%",50158.6223896467,49675.1886219934,51354.7078919809,"-1.7%",50565.1274900398,50408.519750546,50898.07273926,"-0.5%"
"HIGHER EDUCATION ASSISTANT",67099.7314447115,69259.5236657185,66067.3846989516,"2.4%",67785.8321466912,68918.1261023008,67239.5399838677,"1.2%",66959.5769232009,68231.622257888,66375.0901173729,"1.4%",72788.0064736853,73320.4638193372,72536.4717892933,"0.5%",71434.4559756102,71738.2696607661,71296.154113045,"0.3%",71347.114637102,70988.1375573782,71508.9261268987,"-0.4%",74132.8215547703,73962.4780044074,74209.2501072037,"-0.2%"
"HIGHER EDUCATION ASSOCIATE",87687.6866844894,89381.0722460476,86696.9726984057,"1.5%",88013.8745938617,90233.929863773,86836.7756282012,"1.9%",87660.2110840762,87815.4716718505,87578.0017584648,"0.1%",96095.5792394217,96418.4015802579,95919.0923039858,"0.3%",94162.2095240678,95202.6365398532,93632.6440246012,"0.8%",92584.4432850164,93137.1433236207,92297.3020714454,"0.5%",96335.8877887789,97758.1835910664,95629.8100835533,"1.1%"
